timestamp,podName,cpu,memory
2026-05-14T23:17:21+01:00,web-6dfb8f7c74-c659m,86m,14Mi
2026-05-14T23:17:21+01:00,web-6dfb8f7c74-lmhjz,102m,14Mi
2026-05-14T23:17:21+01:00,web-6dfb8f7c74-zjt2v,92m,14Mi
2026-05-14T23:17:33+01:00,locust-driver-fvths,688m,78Mi
2026-05-14T23:17:33+01:00,web-6dfb8f7c74-2zdw6,96m,13Mi
2026-05-14T23:17:33+01:00,web-6dfb8f7c74-66b47,97m,14Mi
2026-05-14T23:17:33+01:00,web-6dfb8f7c74-7m4cb,105m,14Mi
2026-05-14T23:17:33+01:00,web-6dfb8f7c74-9brb4,101m,14Mi
2026-05-14T23:17:33+01:00,web-6dfb8f7c74-c659m,90m,14Mi
2026-05-14T23:17:33+01:00,web-6dfb8f7c74-lmhjz,104m,14Mi
2026-05-14T23:17:33+01:00,web-6dfb8f7c74-zjt2v,89m,14Mi
2026-05-14T23:17:39+01:00,locust-driver-fvths,688m,78Mi
2026-05-14T23:17:39+01:00,web-6dfb8f7c74-2zdw6,96m,13Mi
2026-05-14T23:17:39+01:00,web-6dfb8f7c74-66b47,97m,14Mi
2026-05-14T23:17:39+01:00,web-6dfb8f7c74-7m4cb,105m,14Mi
2026-05-14T23:17:39+01:00,web-6dfb8f7c74-9brb4,101m,14Mi
2026-05-14T23:17:39+01:00,web-6dfb8f7c74-c659m,90m,14Mi
2026-05-14T23:17:39+01:00,web-6dfb8f7c74-lmhjz,104m,14Mi
2026-05-14T23:17:39+01:00,web-6dfb8f7c74-zjt2v,89m,14Mi
2026-05-14T23:17:44+01:00,locust-driver-fvths,680m,78Mi
2026-05-14T23:17:44+01:00,web-6dfb8f7c74-2zdw6,87m,13Mi
2026-05-14T23:17:44+01:00,web-6dfb8f7c74-66b47,92m,14Mi
2026-05-14T23:17:44+01:00,web-6dfb8f7c74-7m4cb,102m,14Mi
2026-05-14T23:17:44+01:00,web-6dfb8f7c74-9brb4,102m,14Mi
2026-05-14T23:17:44+01:00,web-6dfb8f7c74-c659m,91m,14Mi
2026-05-14T23:17:44+01:00,web-6dfb8f7c74-lmhjz,98m,14Mi
2026-05-14T23:17:44+01:00,web-6dfb8f7c74-zjt2v,94m,14Mi
2026-05-14T23:17:54+01:00,locust-driver-fvths,680m,78Mi
