Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778796974,1000,,Aggregated,231.700000,0.000000,150,170,200,340,8500,13000,20000,23000,25000,25000,25000,17093,26,150.0,1808.892421703596,6.538297049701214,25474.843428994063,2.9954367284853447
1778796975,1000,,Aggregated,231.900000,0.000000,150,170,200,330,8500,13000,21000,24000,25000,26000,26000,17337,26,150.0,1833.6166041478136,6.538297049701214,25732.259901007637,2.995500951721751
1778796976,1000,,Aggregated,231.500000,0.000000,150,170,200,330,8600,13000,21000,24000,25000,26000,26000,17588,26,150.0,1866.0201433196835,6.538297049701214,25732.259901007637,2.9955651580623153
1778796977,1000,,Aggregated,230.600000,0.000000,150,170,200,330,8700,13000,22000,25000,25000,26000,26000,17827,26,150.0,1911.460407223977,6.538297049701214,25732.259901007637,2.9956246143490213
1778796978,1000,,Aggregated,231.400000,0.000000,150,170,200,320,8700,14000,22000,25000,25000,26000,26000,18070,26,150.0,1932.902272837879,6.538297049701214,25732.259901007637,2.99568345323741
1778796979,1000,,Aggregated,232.500000,0.000000,150,170,200,320,8800,14000,23000,25000,25000,26000,26000,18313,26,150.0,1958.7583853865306,6.538297049701214,25732.259901007637,2.995740730628515
1778796980,1000,,Aggregated,231.800000,0.000000,150,170,200,320,8800,14000,23000,25000,25000,26000,26000,18538,26,150.0,1983.4665019065342,6.538297049701214,25732.259901007637,2.9957924263674616
1778796981,1000,,Aggregated,234.800000,0.000000,150,170,200,320,8800,15000,24000,25000,25000,26000,26000,18786,26,150.0,2017.5455029926657,6.538297049701214,25732.259901007637,2.9958479718939635
1778796982,1000,,Aggregated,234.300000,0.000000,150,170,200,310,8800,15000,24000,25000,25000,26000,26000,19036,26,150.0,2043.7551495664272,6.538297049701214,25732.259901007637,2.9959025005253204
1778796983,1000,,Aggregated,233.200000,0.000000,150,170,200,310,8900,16000,24000,25000,25000,26000,26000,19277,26,150.0,2075.0142406348346,6.538297049701214,25732.259901007637,2.9959537272397156
1778796984,1000,,Aggregated,234.300000,0.000000,150,170,200,310,8900,16000,24000,25000,25000,26000,26000,19514,26,150.0,2087.985052249085,6.538297049701214,25732.259901007637,2.9960028697345495
1778796985,1000,,Aggregated,234.200000,0.000000,150,170,200,310,8900,16000,24000,25000,25000,26000,26000,19763,26,150.0,2121.0973124482775,6.538297049701214,25732.259901007637,2.9960532307848
1778796986,1000,,Aggregated,235.200000,0.000000,150,170,200,300,8900,17000,24000,25000,25000,26000,26000,19996,26,150.0,2136.772487569065,6.538297049701214,25732.259901007637,2.996099219843969
1778796987,1000,,Aggregated,234.000000,0.000000,150,170,200,300,8900,17000,24000,25000,25000,26000,26000,20244,26,150.0,2145.1113780146857,6.538297049701214,25732.259901007637,2.9961470065204505
1778796988,1000,,Aggregated,233.300000,0.000000,150,170,200,290,8900,17000,24000,25000,25000,26000,26000,20486,26,150.0,2160.479992626333,6.538297049701214,25732.259901007637,2.996192521722152
1778796989,1000,,Aggregated,232.000000,0.000000,150,170,200,290,8900,17000,24000,25000,25000,26000,26000,20720,26,150.0,2167.2219179141034,6.538297049701214,25732.259901007637,2.9962355212355214
1778796990,1000,,Aggregated,232.900000,0.000000,150,170,200,290,9000,18000,24000,25000,25000,26000,26000,20936,26,150.0,2181.5951380925812,6.538297049701214,25732.259901007637,2.996274359954146
1778796991,1000,,Aggregated,232.900000,0.000000,150,170,200,290,9000,18000,24000,25000,25000,26000,26000,21182,26,150.0,2203.224838086156,6.538297049701214,25732.259901007637,2.9963176281748654
1778796992,1000,,Aggregated,233.900000,0.000000,150,170,200,290,9000,19000,24000,25000,25000,26000,26000,21418,26,150.0,2234.185931718647,6.538297049701214,25732.259901007637,2.996358203380334
1778796993,1000,,Aggregated,232.400000,0.000000,150,170,200,290,9100,20000,24000,25000,25000,26000,26000,21668,26,150.0,2266.3850908928716,6.538297049701214,25732.259901007637,2.996400221524829
1778796994,1000,,Aggregated,232.000000,0.000000,150,170,200,280,9100,20000,24000,25000,25000,26000,26000,21902,26,150.0,2265.228068850553,6.538297049701214,25732.259901007637,2.996438681398959
1778796996,1000,,Aggregated,231.000000,0.000000,150,170,200,280,9100,20000,24000,25000,25000,26000,26000,22144,26,150.0,2276.559759731085,6.538297049701214,25732.259901007637,2.9964776011560694
1778796997,1000,,Aggregated,231.600000,0.000000,150,170,200,280,9100,21000,24000,25000,25000,26000,26000,22397,26,150.0,2304.918718701471,6.538297049701214,25732.259901007637,2.9965173907219715
1778796998,1000,,Aggregated,231.100000,0.000000,150,170,200,280,9100,21000,24000,25000,25000,26000,26000,22628,26,150.0,2304.6752486350097,6.538297049701214,25732.259901007637,2.996552943256143
1778796999,1000,,Aggregated,232.900000,0.000000,150,170,190,270,9100,22000,24000,25000,25000,26000,26000,22868,26,150.0,2313.6918404482362,6.538297049701214,25732.259901007637,2.9965891201679202
1778797000,1000,,Aggregated,231.500000,0.000000,150,170,190,270,9200,22000,24000,25000,25000,26000,26000,23102,26,150.0,2335.9490992299156,6.538297049701214,25732.259901007637,2.9966236689464116
1778797001,1000,,Aggregated,231.700000,0.000000,150,170,200,270,9200,22000,24000,25000,25000,26000,26000,23317,26,150.0,2345.497823562044,6.538297049701214,25732.259901007637,2.9966548012179954
1778797002,1000,,Aggregated,230.800000,0.000000,150,170,200,270,9200,22000,24000,25000,25000,26000,26000,23558,26,150.0,2361.1623789531814,6.538297049701214,25732.259901007637,2.996689022837253
1778797003,1000,,Aggregated,229.400000,0.000000,150,170,190,270,9300,23000,24000,25000,25000,26000,26000,23790,26,150.0,2375.2599513605205,6.538297049701214,25732.259901007637,2.99672131147541
1778797004,1000,,Aggregated,227.900000,0.000000,150,170,190,270,9300,23000,24000,25000,25000,26000,26000,24035,26,150.0,2387.0702184749725,6.538297049701214,25732.259901007637,2.9967547326815063
1778797005,1000,,Aggregated,228.600000,0.000000,150,170,190,260,9300,23000,24000,25000,25000,26000,26000,24272,26,150.0,2388.157130618277,6.538297049701214,25732.259901007637,2.9967864205669086
1778797006,1000,,Aggregated,227.200000,0.000000,150,170,190,260,9400,23000,24000,25000,25000,26000,26000,24520,26,150.0,2402.889330265687,6.538297049701214,25732.259901007637,2.9968189233278957
1778797007,1000,,Aggregated,228.600000,0.000000,150,170,190,260,9400,23000,24000,25000,25000,26000,26000,24748,26,150.0,2411.046865557487,6.538297049701214,25732.259901007637,2.996848230160013
1778797008,1000,,Aggregated,228.800000,0.000000,150,170,190,260,9400,23000,24000,25000,25000,26000,26000,24995,26,150.0,2430.672837508264,6.538297049701214,25732.259901007637,2.996879375875175
1778797009,1000,,Aggregated,228.700000,0.000000,150,170,190,260,9500,23000,24000,25000,25000,26000,26000,25242,26,150.0,2446.429124815053,6.538297049701214,25732.259901007637,2.996909912051343
1778797010,1000,,Aggregated,228.500000,0.000000,150,170,190,250,9400,23000,24000,25000,25000,26000,26000,25478,26,150.0,2443.1991234990473,6.538297049701214,25732.259901007637,2.996938535206845
1778797011,1000,,Aggregated,227.900000,0.000000,150,170,190,250,9600,23000,24000,25000,25000,26000,26000,25730,26,150.0,2467.655011776917,6.538297049701214,25732.259901007637,2.9969685192382434
1778797012,1000,,Aggregated,230.300000,0.000000,150,170,190,250,9700,23000,24000,25000,25000,26000,26000,25957,26,150.0,2477.073319359422,6.538297049701214,25732.259901007637,2.996995030242324
1778797013,1000,,Aggregated,232.400000,0.000000,150,170,190,250,9700,23000,24000,25000,25000,26000,26000,26203,26,150.0,2482.8719494068023,6.538297049701214,25732.259901007637,2.997023241613556
1778797014,1000,,Aggregated,232.200000,0.000000,150,170,190,250,9900,23000,24000,25000,25000,26000,26000,26452,26,150.0,2500.2203951523297,6.538297049701214,25732.259901007637,2.9970512626644488
1778797015,1000,,Aggregated,232.900000,0.000000,150,170,190,250,9900,23000,24000,25000,25000,26000,26000,26694,26,150.0,2503.567115326828,6.538297049701214,25732.259901007637,2.9970779950550686
1778797016,1000,,Aggregated,234.100000,0.000000,150,170,190,250,10000,23000,24000,25000,25000,26000,26000,26929,26,150.0,2522.9530746167875,6.538297049701214,25732.259901007637,2.9971034943740946
1778797017,1000,,Aggregated,233.900000,0.000000,150,170,190,250,10000,23000,24000,25000,25000,26000,26000,27167,26,150.0,2538.909882067051,6.538297049701214,25732.259901007637,2.9971288695844223
1778797018,1000,,Aggregated,233.700000,0.000000,150,170,190,250,11000,23000,24000,25000,25000,26000,26000,27419,26,150.0,2549.184269514714,6.538297049701214,25732.259901007637,2.99715525730333
1778797019,1000,,Aggregated,232.600000,0.000000,150,170,190,240,11000,23000,24000,25000,25000,26000,26000,27668,26,150.0,2567.6518701473965,6.538297049701214,25732.259901007637,2.997180858753795
1778797020,1000,,Aggregated,233.900000,0.000000,150,170,190,240,11000,23000,24000,25000,25000,26000,26000,27910,26,150.0,2570.4632721847106,6.538297049701214,25732.259901007637,2.997205302758868
1778797021,1000,,Aggregated,233.800000,0.000000,150,170,190,240,11000,23000,24000,25000,25000,26000,26000,28163,26,150.0,2579.699242152049,6.538297049701214,25732.259901007637,2.9972304086922557
1778797022,1000,,Aggregated,234.100000,0.000000,150,170,190,240,11000,23000,24000,25000,25000,26000,26000,28381,26,150.0,2584.6329363274854,6.538297049701214,25732.259901007637,2.99725168246362
1778797023,1000,,Aggregated,236.500000,0.000000,150,170,190,240,11000,23000,24000,25000,25000,26000,26000,28635,26,150.0,2609.945972706674,6.538297049701214,25732.259901007637,2.9972760607647984
1778797024,1000,,Aggregated,237.200000,0.000000,150,170,190,240,11000,23000,24000,25000,25000,26000,26000,28883,26,150.0,2617.2776352609603,6.538297049701214,25732.259901007637,2.997299449503168
1778797026,1000,,Aggregated,234.800000,0.000000,150,170,190,240,11000,23000,24000,25000,25000,26000,26000,29116,26,150.0,2636.9988939910836,6.538297049701214,25732.259901007637,2.997321060585245
1778797027,1000,,Aggregated,235.400000,0.000000,150,170,190,240,11000,23000,24000,25000,25000,26000,26000,29364,26,150.0,2640.369660479101,6.538297049701214,25732.259901007637,2.9973436861463014
1778797028,1000,,Aggregated,235.400000,0.000000,150,170,190,240,11000,23000,24000,25000,25000,26000,26000,29602,26,150.0,2635.1512690010336,6.538297049701214,25732.259901007637,2.9973650429025067
1778797029,1000,,Aggregated,235.500000,0.000000,150,170,190,240,11000,23000,24000,25000,25000,26000,26000,29841,26,150.0,2644.164724413028,6.538297049701214,25732.259901007637,2.9973861465768574
1778797030,1000,,Aggregated,235.100000,0.000000,150,170,190,230,11000,23000,24000,25000,25000,26000,26000,30085,26,150.0,2645.6704452971003,6.538297049701214,25732.259901007637,2.997407345853415
1778797031,1000,,Aggregated,236.000000,0.000000,150,170,190,230,11000,23000,24000,25000,25000,26000,26000,30324,26,150.0,2646.2814451574986,6.538297049701214,25732.259901007637,2.9974277799762565
1778797032,1000,,Aggregated,235.000000,0.000000,150,170,190,230,12000,23000,24000,25000,25000,26000,26000,30580,26,150.0,2656.6305588541836,6.538297049701214,25732.259901007637,2.9974493132766513
1778797033,1000,,Aggregated,233.100000,0.000000,150,170,190,230,12000,23000,24000,25000,25000,26000,26000,30805,26,150.0,2654.0650907933586,6.538297049701214,25732.259901007637,2.9974679435156633
1778797034,1000,,Aggregated,234.100000,0.000000,150,170,190,230,12000,23000,24000,25000,25000,26000,26000,31045,26,150.0,2673.7337881434987,6.538297049701214,25732.259901007637,2.99748751811886
1778797035,1000,,Aggregated,233.800000,0.000000,150,170,190,230,12000,24000,24000,25000,25000,26000,26000,31299,26,150.0,2676.6941817257093,6.538297049701214,25732.259901007637,2.9975079076008817
1778797036,1000,,Aggregated,233.100000,0.000000,150,170,190,230,12000,24000,24000,25000,25000,26000,26000,31548,26,150.0,2683.282590959654,6.538297049701214,25732.259901007637,2.997527577025485
1778797037,1000,,Aggregated,232.900000,0.000000,150,170,190,230,12000,24000,24000,25000,25000,26000,26000,31793,26,150.0,2682.8762027206876,6.538297049701214,25732.259901007637,2.9975466297612683
1778797038,1000,,Aggregated,233.800000,0.000000,150,170,190,230,12000,24000,24000,25000,25000,26000,26000,32032,26,150.0,2696.3298532048125,6.538297049701214,25732.259901007637,2.997564935064935
1778797039,1000,,Aggregated,234.400000,0.000000,150,170,190,230,12000,24000,24000,25000,25000,26000,26000,32262,26,150.0,2695.4526027297557,6.538297049701214,25732.259901007637,2.997582294960015
1778797040,1000,,Aggregated,235.000000,0.000000,150,170,190,230,12000,24000,24000,25000,25000,26000,26000,32506,26,150.0,2701.873660517831,6.538297049701214,25732.259901007637,2.9976004429951395
1778797041,1000,,Aggregated,233.800000,0.000000,150,170,190,220,12000,24000,24000,25000,25000,26000,26000,32749,26,150.0,2699.5999869918214,6.538297049701214,25732.259901007637,2.9976182478854314
1778797042,1000,,Aggregated,233.600000,0.000000,150,170,190,220,12000,24000,24000,25000,25000,26000,26000,32996,26,150.0,2706.8709029996035,6.538297049701214,25732.259901007637,2.9976360771002546
1778797043,1000,,Aggregated,234.400000,0.000000,150,170,190,220,12000,24000,24000,25000,25000,26000,26000,33218,26,150.0,2715.6597227648826,6.538297049701214,25732.259901007637,2.9976518754891925
1778797044,1000,,Aggregated,233.700000,0.000000,150,170,190,220,12000,24000,24000,25000,25000,26000,26000,33462,26,150.0,2720.2766793444102,6.538297049701214,25732.259901007637,2.9976689976689976
