timestamp,node,cpuUsed,cpuPct,memUsed,memPct
2026-05-14T23:22:24+01:00,k3s-worker-2,828m,82%,775Mi,13%
2026-05-14T23:22:24+01:00,k3s-worker-3,8m,0%,608Mi,10%
2026-05-14T23:22:30+01:00,k3s-server,599m,59%,1017Mi,17%
2026-05-14T23:22:30+01:00,k3s-worker-1,194m,19%,669Mi,11%
2026-05-14T23:22:30+01:00,k3s-worker-2,777m,77%,775Mi,13%
2026-05-14T23:22:30+01:00,k3s-worker-3,6m,0%,609Mi,10%
2026-05-14T23:22:37+01:00,k3s-server,599m,59%,1017Mi,17%
2026-05-14T23:22:37+01:00,k3s-worker-1,194m,19%,669Mi,11%
2026-05-14T23:22:37+01:00,k3s-worker-2,777m,77%,775Mi,13%
2026-05-14T23:22:37+01:00,k3s-worker-3,6m,0%,609Mi,10%
2026-05-14T23:22:46+01:00,k3s-server,551m,55%,1019Mi,17%
2026-05-14T23:22:46+01:00,k3s-worker-1,246m,24%,671Mi,11%
2026-05-14T23:22:46+01:00,k3s-worker-2,801m,80%,775Mi,13%
2026-05-14T23:22:46+01:00,k3s-worker-3,8m,0%,608Mi,10%
2026-05-14T23:22:55+01:00,k3s-server,551m,55%,1019Mi,17%
2026-05-14T23:22:55+01:00,k3s-worker-1,246m,24%,671Mi,11%
2026-05-14T23:22:55+01:00,k3s-worker-2,801m,80%,775Mi,13%
2026-05-14T23:22:55+01:00,k3s-worker-3,8m,0%,608Mi,10%
2026-05-14T23:23:03+01:00,k3s-server,501m,50%,1020Mi,17%
2026-05-14T23:23:03+01:00,k3s-worker-1,198m,19%,670Mi,11%
2026-05-14T23:23:03+01:00,k3s-worker-2,825m,82%,775Mi,13%
2026-05-14T23:23:03+01:00,k3s-worker-3,6m,0%,608Mi,10%
2026-05-14T23:23:11+01:00,k3s-server,501m,50%,1020Mi,17%
2026-05-14T23:23:11+01:00,k3s-worker-1,198m,19%,670Mi,11%
2026-05-14T23:23:11+01:00,k3s-worker-2,825m,82%,775Mi,13%
2026-05-14T23:23:11+01:00,k3s-worker-3,6m,0%,608Mi,10%
2026-05-14T23:23:17+01:00,k3s-server,511m,51%,1020Mi,17%
2026-05-14T23:23:17+01:00,k3s-worker-1,213m,21%,669Mi,11%
2026-05-14T23:23:17+01:00,k3s-worker-2,831m,83%,775Mi,13%
2026-05-14T23:23:17+01:00,k3s-worker-3,9m,0%,608Mi,10%
2026-05-14T23:23:27+01:00,k3s-server,511m,51%,1020Mi,17%
2026-05-14T23:23:27+01:00,k3s-worker-1,213m,21%,669Mi,11%
2026-05-14T23:23:27+01:00,k3s-worker-2,831m,83%,775Mi,13%
2026-05-14T23:23:27+01:00,k3s-worker-3,9m,0%,608Mi,10%
2026-05-14T23:23:34+01:00,k3s-server,494m,49%,1021Mi,17%
2026-05-14T23:23:34+01:00,k3s-worker-1,213m,21%,670Mi,11%
2026-05-14T23:23:34+01:00,k3s-worker-2,844m,84%,775Mi,13%
2026-05-14T23:23:34+01:00,k3s-worker-3,5m,0%,608Mi,10%
2026-05-14T23:23:40+01:00,k3s-server,481m,48%,1019Mi,17%
2026-05-14T23:23:40+01:00,k3s-worker-1,206m,20%,670Mi,11%
2026-05-14T23:23:40+01:00,k3s-worker-2,823m,82%,775Mi,13%
2026-05-14T23:23:40+01:00,k3s-worker-3,8m,0%,608Mi,10%
2026-05-14T23:23:50+01:00,k3s-server,481m,48%,1019Mi,17%
2026-05-14T23:23:50+01:00,k3s-worker-1,206m,20%,670Mi,11%
2026-05-14T23:23:50+01:00,k3s-worker-2,823m,82%,775Mi,13%
2026-05-14T23:23:50+01:00,k3s-worker-3,8m,0%,608Mi,10%
2026-05-14T23:23:56+01:00,k3s-server,498m,49%,1018Mi,17%
2026-05-14T23:23:56+01:00,k3s-worker-1,203m,20%,670Mi,11%
2026-05-14T23:23:56+01:00,k3s-worker-2,818m,81%,776Mi,13%
2026-05-14T23:23:56+01:00,k3s-worker-3,6m,0%,608Mi,10%
