serviceRequest,startTime,duration,status
web,13.936,0.014000,OK
web,13.964,0.014000,OK
web,13.992,0.014000,OK
web,14.020,0.014000,OK
web,14.048,0.014000,OK
web,14.076,0.014000,OK
web,14.104,0.014000,OK
web,14.132,0.014000,OK
web,14.160,0.014000,OK
web,14.188,0.014000,OK
web,14.216,0.014000,OK
web,14.244,0.014000,OK
web,14.272,0.014000,OK
web,14.300,0.014000,OK
web,14.328,0.014000,OK
web,14.356,0.014000,OK
web,14.384,0.014000,OK
web,14.412,0.014000,OK
web,14.440,0.014000,OK
web,14.468,0.014000,OK
web,14.496,0.014000,OK
web,14.524,0.014000,OK
web,14.552,0.014000,OK
web,14.580,0.014000,OK
web,14.608,0.014000,OK
web,14.636,0.014000,OK
web,14.664,0.014000,OK
web,14.692,0.014000,OK
web,14.720,0.014000,OK
web,14.748,0.014000,OK
web,14.776,0.014000,OK
web,14.804,0.014000,OK
web,14.832,0.014000,OK
web,14.860,0.014000,OK
web,14.888,0.014000,OK
web,14.916,0.014000,OK
web,14.944,0.014000,OK
web,14.972,0.014000,OK
web,15.000,0.014000,OK
web,15.028,0.014000,OK
web,15.056,0.014000,OK
web,15.084,0.014000,OK
web,15.112,0.014000,OK
web,15.140,0.014000,OK
web,15.168,0.014000,OK
web,15.196,0.014000,OK
web,15.224,0.014000,OK
web,15.252,0.014000,OK
web,15.280,0.014000,OK
web,15.308,0.014000,OK
web,15.336,0.014000,OK
web,15.364,0.014000,OK
web,15.392,0.014000,OK
web,15.420,0.014000,OK
web,15.448,0.014000,OK
web,15.476,0.014000,OK
web,15.504,0.014000,OK
web,15.532,0.014000,OK
web,15.560,0.014000,OK
web,15.588,0.014000,OK
web,15.616,0.014000,OK
web,15.644,0.014000,OK
web,15.672,0.014000,OK
web,15.700,0.014000,OK
web,15.728,0.014000,OK
web,15.756,0.014000,OK
web,15.784,0.014000,OK
web,15.812,0.014000,OK
web,15.840,0.014000,OK
web,15.868,0.014000,OK
web,15.896,0.014000,OK
web,15.924,0.014000,OK
web,15.952,0.014000,OK
web,15.980,0.014000,OK
web,16.008,0.014000,OK
web,16.036,0.014000,OK
web,16.064,0.014000,OK
web,16.092,0.014000,OK
web,16.120,0.014000,OK
web,16.148,0.014000,OK
web,16.176,0.014000,OK
web,16.204,0.014000,OK
web,16.232,0.014000,OK
web,16.260,0.014000,OK
web,16.288,0.014000,OK
web,16.316,0.014000,OK
web,16.344,0.014000,OK
web,16.372,0.014000,OK
web,16.400,0.014000,OK
web,16.428,0.014000,OK
web,16.456,0.014000,OK
web,16.484,0.014000,OK
web,16.512,0.014000,OK
web,16.540,0.014000,OK
web,16.568,0.014000,OK
web,16.596,0.014000,OK
web,16.624,0.014000,OK
web,16.652,0.014000,OK
web,16.680,0.014000,OK
web,16.708,0.014000,OK
web,16.736,0.014000,OK
web,16.764,0.014000,OK
web,16.792,0.014000,OK
web,16.820,0.014000,OK
web,16.848,0.014000,OK
web,16.876,0.014000,OK
web,16.904,0.014000,OK
web,16.932,0.014000,OK
web,16.960,0.014000,OK
web,16.988,0.014000,OK
web,17.016,0.014000,OK
web,17.044,0.014000,OK
web,17.072,0.014000,OK
web,17.100,0.014000,OK
web,17.128,0.014000,OK
web,17.156,0.014000,OK
web,17.184,0.014000,OK
web,17.212,0.014000,OK
web,17.240,0.014000,OK
web,17.268,0.014000,OK
web,17.296,0.014000,OK
web,17.324,0.014000,OK
web,17.352,0.014000,OK
web,17.380,0.014000,OK
web,17.408,0.014000,OK
web,17.436,0.014000,OK
web,17.464,0.014000,OK
web,17.492,0.014000,OK
web,17.520,0.014000,OK
web,17.548,0.014000,OK
web,17.576,0.014000,OK
web,17.604,0.014000,OK
web,17.632,0.014000,OK
web,17.660,0.014000,OK
web,17.688,0.014000,OK
web,17.716,0.014000,OK
web,17.744,0.014000,OK
web,17.772,0.014000,OK
web,17.800,0.014000,OK
web,17.828,0.014000,OK
web,17.856,0.014000,OK
web,17.884,0.014000,OK
web,17.912,0.014000,OK
web,17.940,0.014000,OK
web,17.968,0.014000,OK
web,17.996,0.014000,OK
web,18.024,0.014000,OK
web,18.052,0.014000,OK
web,18.080,0.014000,OK
web,18.108,0.014000,OK
web,18.136,0.014000,OK
web,18.164,0.014000,OK
web,18.192,0.014000,OK
web,18.220,0.014000,OK
web,18.248,0.014000,OK
web,18.276,0.014000,OK
web,18.304,0.014000,OK
web,18.332,0.014000,OK
web,18.360,0.014000,OK
web,18.388,0.014000,OK
web,18.416,0.014000,OK
web,18.444,0.014000,OK
web,18.472,0.014000,OK
web,18.500,0.014000,OK
web,18.528,0.014000,OK
web,18.556,0.014000,OK
web,18.584,0.014000,OK
web,18.612,0.014000,OK
web,18.640,0.014000,OK
